SlNo,SIGNAL_NAME,SIGNAL_STATUS,SIGNAL_TIME
8275,OMCTPR,Down,05/21/2025 22:57:11:234
8276,C02TPR,Up,05/21/2025 22:57:17:281
8277,H02TPR,Up,05/21/2025 22:57:22:468
8278,UD_GDRA.BPAC_VPR2,Up,05/21/2025 22:57:26:515
8279,OMBTPR,Down,05/21/2025 22:57:26:546
8280,UD_GDRA.BPAC_VPR1,Up,05/21/2025 22:57:26:562
8281,UD_GDRA.BPAC_VPR,Up,05/21/2025 22:57:27:687
8282,15TPR,Up,05/21/2025 22:57:27:859
8283,03_13TPR,Up,05/21/2025 22:57:37:046
8284,102BTPR,Up,05/21/2025 22:57:40:765
8285,OMATPR,Down,05/21/2025 22:57:41:796
8286,104BTPR,Up,05/21/2025 22:57:50:328
8287,111BTPR,Down,05/21/2025 22:57:56:328
8288,111CTPR,Down,05/21/2025 22:58:03:000
8289,111CTPR,Up,05/21/2025 22:58:03:015
8290,111CTPR,Down,05/21/2025 22:58:03:031
8291,OMCTPR,Up,05/21/2025 22:58:05:296
8292,103BTPR,Down,05/21/2025 22:58:17:125
8293,OMBTPR,Up,05/21/2025 22:58:20:234
8294,101ATPR,Down,05/21/2025 22:58:26:484
8295,04_14TPR,Down,05/21/2025 22:58:34:234
8296,OMATPR,Up,05/21/2025 22:58:35:359
8297,OMTPR,Up,05/21/2025 22:58:35:453
8298,111BTPR,Up,05/21/2025 22:58:42:156
8299,16TPR,Down,05/21/2025 22:58:42:843
8300,UD_STBD.BPAC_VPR1,Down,05/21/2025 22:58:44:437
8301,UD_STBD.BPAC_VPR2,Down,05/21/2025 22:58:44:468
8302,H01TPR,Down,05/21/2025 22:58:47:859
8303,C01TPR,Down,05/21/2025 22:58:53:015
8304,111CTPR,Up,05/21/2025 22:58:55:875
8305,103BTPR,Up,05/21/2025 22:59:05:031
8306,101ATPR,Up,05/21/2025 22:59:12:859
8307,04_14TPR,Up,05/21/2025 22:59:21:906
8308,16TPR,Up,05/21/2025 22:59:27:125
8309,H01TPR,Up,05/21/2025 22:59:33:125
8310,C01TPR,Up,05/21/2025 22:59:37:484
8311,UD_STBD.BPAC_VPR2,Up,05/21/2025 23:46:09:562
8312,UD_STBD.BPAC_VPR1,Up,05/21/2025 23:46:10:140
8313,UD_STBD.BPAC_VPR1,Down,05/22/2025 00:00:23:250
8314,UD_STBD.BPAC_VPR2,Down,05/22/2025 00:00:23:671
8315,C01TPR,Down,05/22/2025 00:46:23:781
8316,H01TPR,Down,05/22/2025 00:46:30:531
8317,16TPR,Down,05/22/2025 00:46:38:187
8318,04_14TPR,Down,05/22/2025 00:46:45:437
8319,101ATPR,Down,05/22/2025 00:46:57:484
8320,103BTPR,Down,05/22/2025 00:47:07:921
8321,111CTPR,Down,05/22/2025 00:47:20:484
8322,C01TPR,Up,05/22/2025 00:47:22:750
8323,H01TPR,Up,05/22/2025 00:47:30:000
8324,UD_STBD.BPAC_VPR2,Up,05/22/2025 00:47:34:734
8325,UD_STBD.BPAC_VPR1,Up,05/22/2025 00:47:34:890
8326,16TPR,Up,05/22/2025 00:47:36:671
8327,111BTPR,Down,05/22/2025 00:47:39:406
8328,04_14TPR,Up,05/22/2025 00:47:48:406
8329,OMATPR,Down,05/22/2025 00:47:48:437
8330,OMTPR,Down,05/22/2025 00:47:48:437
8331,101ATPR,Up,05/22/2025 00:47:58:406
8332,OMBTPR,Down,05/22/2025 00:48:07:734
8333,103BTPR,Up,05/22/2025 00:48:10:312
8334,OMCTPR,Down,05/22/2025 00:48:26:734
8335,111CTPR,Up,05/22/2025 00:48:28:093
8336,111BTPR,Up,05/22/2025 00:48:36:500
8337,104BTPR,Down,05/22/2025 00:48:45:546
8338,OMATPR,Up,05/22/2025 00:48:54:156
8339,102BTPR,Down,05/22/2025 00:48:57:140
8340,03_13TPR,Down,05/22/2025 00:49:01:343
8341,OMBTPR,Up,05/22/2025 00:49:11:421
